Year	Pop.	Percent
1500 	9200000	—    
1550 	12900000	+40.2%
1600 	16200000	+25.6%
1650 	10000000	−38.3%
1700 	14100000	+41.0%
1750 	18300000	+29.8%
1800 	22700000	+24.0%
1850 	35303000	+55.5%
1870 	40804000	+15.6%
1900 	56046000	+37.4%
1910 	64568000	+15.2%
1920 	61974000	−4.0%
1930 	64294000	+3.7%
1940 	69838000	+8.6%
1950 	69346000	−0.7%
1960 	73147000	+5.5%
1970 	78069000	+6.7%
1980 	78397000	+0.4%
1990 	79753227	+1.7%
2000 	82259540	+3.1%
2010 	81751602	−0.6%
2020 	83155031	+1.7%
